*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
LG030,LG Oil Gloss - Colours Tinted 2.5ltr,,Little Greene Oil Gloss - Colours Tinted 2.5LT,80.10,311,No VAT,Little Greene Oil Gloss - Colours Tinted 2.5LT,88.11,202,No VAT,,,Active,Untracked
LG031,LG Oil Gloss - Colours Tinted 1ltr,,Little Greene Oil Gloss - Colours Tinted 1LT,40.50,311,No VAT,Little Greene Oil Gloss - Colours Tinted 1LT,44.55,202,No VAT,,,Active,Untracked
LG032,LG Intelligent Masonry Paint - Tinted 10ltr,,Little Greene Intelligent Masonry Paint - Colours,135.00,311,No VAT,Little Greene Intelligent Masonry Paint - Colours,148.50,202,No VAT,,,Active,Untracked
LG033,LG Intelligent Masonry Paint - Tinted 5ltr,,Little Greene Intelligent Masonry Paint - Colours,77.40,311,No VAT,Little Greene Intelligent Masonry Paint - Colours,85.14,202,No VAT,,,Active,Untracked
LG034,LG Wall Primer Sealer - Colours Tinted 10ltr,,Little Greene Wall Primer Sealer - Colours Tinted,131.40,311,No VAT,Little Greene Wall Primer Sealer - Colours Tinted,144.54,202,No VAT,,,Active,Untracked
LG035,LG Wall Primer Sealer - Colours Tinted 2.5ltr,,Little Greene Wall Primer Sealer - Colours Tinted,41.40,311,No VAT,Little Greene Wall Primer Sealer - Colours Tinted,45.54,202,No VAT,,,Active,Untracked
LG036,LG Aluminium Wood Primer - All 2.5ltr,,Little Greene Aluminium Wood Primer - All 2.5LT,63.90,311,No VAT,Little Greene Aluminium Wood Primer - All 2.5LT,70.29,202,No VAT,,,Active,Untracked
LG037,LG Aluminium Wood Primer - All 1ltr,,Little Greene Aluminium Wood Primer - All 1LT,33.30,311,No VAT,Little Greene Aluminium Wood Primer - All 1LT,36.63,202,No VAT,,,Active,Untracked
LG038,LG Wallpaper Adhesive - All 5KG,,Little Greene Wallpaper Adhesive - All 5KG,20.70,311,No VAT,Little Greene Wallpaper Adhesive - All 5KG,22.77,202,No VAT,,,Active,Untracked
LG039,LG Wallpaper Adhesive - All 2.5KG,,Little Greene Wallpaper Adhesive - All 2.5KG,14.40,311,No VAT,Little Greene Wallpaper Adhesive - All 2.5KG,15.84,202,No VAT,,,Active,Untracked
